id,title,company,location,industry,experience_level,experience_min,experience_max,required_skills,nice_to_have_skills,description,salary_min,salary_max,job_type,remote,source
11,Accounting Clerk,Saputo Inc.,"Franklin, WI",Food and Beverage Manufacturing,Entry,0,2,Accounting/Auditing|Finance,,"At Saputo, our best comes from our people. We’re a talented and caring team with a longstanding history of excellence. Since our first days delivering cheese on a bicycle, we’ve grown into a leading global dairy processor by staying true to the culture that defines us. Each of our employees is committed to uphold our tradition of care, quality, and passion through food, and together, we foster an environment where we can all make contributions that matter–from our manufacturing plants to our office locations and everywhere in-between. How You Will Make Contributions That Matter... Purchase all indirect supplies for the plant and office ensure proper approvals when needed.Places purchase orders and enters receipts into the Ariba system.Supports other users with Ariba questions/issues and acts as the main point of contact. Sets up contracts in Ariba for the plant.Manages the tax exceptions in Ariba.Provides & analyzes a daily production report for management and production personnel to a",800000,1500000,FULL_TIME,False,linkedin_2023_2024
12,Maintenance Technician,The Job Network,"West Lafayette, IN",Staffing and Recruiting,Mid-level,2,5,Management|Manufacturing,,"Founded in 1923, The Yarco Companies, is a full-service, multi-family real estate firm that delivers highly specialized Property Management Services, and focuses primarily on Affordable Housing. To learn more about our company visit www.yarco.com. Yarco is an equal opportunity employer and does not discriminate on the basis of age, race, religion, color, sex, national origin, marital status, pregnancy, sexual orientation, or physical or mental disability. In compliance with the Immigration Reform and Control Act of 1986, we will hire only U.S. citizens and aliens lawfully authorized to work in the United States (if the position is or will be one which is subject to U.S. law). Position Purpose: This safety sensitive position will assist and work with the Maintenance Supervisor and Community Manager to perform the necessary repairs and preventive maintenance throughout the entire property. This position is responsible for maintenance of the residential apartment homes, public space, outs",800000,1500000,FULL_TIME,False,linkedin_2023_2024
13,"Consulting And Outsourcing Intern - Summer 2026 - Champaign, Il",CLA (CliftonLarsonAllen),"Champaign, IL",Accounting,Entry,0,2,Consulting|Information Technology|Sales,,"We strive every day to exemplify our CLA values – curious, collaborative, transparent, inclusive, and reliable. We are looking for individuals who believe in accountability for one’s actions, take the initiative to make their vision a reality and place honesty, professionalism, conscientiousness and trust above all else. CLA is dedicated to building a culture that welcomes different beliefs and perspectives, so we can truly know and help our clients, communities, and each other. Our Champaign location is seeking Consulting and Outsourcing Interns. Come and see for yourself! Primary Responsibilities Accounts payable / cash disbursements processing, accounts receivable / cash receipts processing, and payroll processing or coordination. Supports multiple clients’ accounting functions. Completes non-complex account reconciliations to be reviewed by Consulting and Outsourcing Senior, Assistant Controller, Controller, or CFO. Works as a team member in meeting the needs of the office staff, p",800000,1500000,PART_TIME,False,linkedin_2023_2024
14,D365 Bc Systems & Process Lead,SystemsAccountants,Greater Chicago Area,Manufacturing,Mid-level,2,5,Information Technology,,"D365 BC Systems & Process LeadChicago, IL Our client is a large manufacturer based out of the Chicago metro area. They have six manufacturing subsidiaries throughout the United States and are expanding. They are looking to bring on their first D365 Business Central functional expert to own the system and shape the company’s usage of it. This person will be working closely with VPs and C-Suite executives, and will have a large impact on their use of Business Central as a main technology for the business.This role would involve working with different business units, integrating multiple softwares with D365 Business Central, and meeting with stakeholders to discuss the business’s usage of D365 Business Central. They utilize multiple softwares, including Power BI, iPaas, Celigo, Docuware, and Magento, that will need to be integrated with D365 Business Central. Requirements5+ years of D365 Business Central experienceBusiness Central experience is a mustAbility to work onsite 5 days a week i",100000,115000,FULL_TIME,False,linkedin_2023_2024
15,Cna 3C Tele- *Ft/Days*,The Job Network,"Mission Hills, KS",Staffing and Recruiting,Entry,0,2,Health Care Provider,,"Description Certified Nursing Assistant 3C Tele Pulmonary (full time day shift) Provides basic nursing care to patients, under direct supervision of RN; assists RN in observation and care of patients in assigned area(s). Demonstrates proficiency in delivering care to assigned age-specific patient population (e.g., infants, adolescents, adults, geriatrics, pediatrics), and participates in related continuing education. Providence caregivers are not simply valued – they’re invaluable. Join our team at Providence Holy Cross Medical Center and thrive in our culture of patient-focused, whole-person care built on understanding, commitment, and mutual respect. Your voice matters here, because we know that to inspire and retain the best people, we must empower them. Required Qualifications Coursework/Training MOAB I/II within 30 to 150 days of hire for employees in Emergency Dept.Coursework/Training Satisfactory completion of training for Nursing Assistants.Upon hire: California Nursing Assista",100000,100000,FULL_TIME,False,linkedin_2023_2024
16,$$$ High Pay Corrections Lpns $$$,Maxim Healthcare Staffing,"Manassas, VA",Staffing and Recruiting,Entry,0,2,Health Care Provider,,"The Corrections Licensed Practical Nurse works in close and immediate contact with adults in custody on a daily basis providing general and emergency nursing care in the Medical and Ambulatory section of the Corrections Facility while maintaining facility security standards. If interested, you can reach out to me via email at bebarret@amergis.com or phone at 703-270-6224. Essential Duties and Responsibilities: Utilizes the nursing process to plan, implement, treat and evaluate the patient/inmateIntegrates and implements referrals of inmates to the staff physician, nurse practitioner, dentist, mental health professional Looks for signs and symptoms indicating physiologic and psychosocial changes in the patient’s condition and reports to RN and/or physician Collaborates with RN regarding the plan of care according to evaluation, changes in medical plan of care, and effective/ineffective nursing interventions Documents patient’s response to nursing and other interventions Monitors the saf",800000,1500000,FULL_TIME,False,linkedin_2023_2024
17,Peoplesoft Technical Support Engineer (Remote),TM Floyd & Company (TMF),"Clemson, SC",IT Services and IT Consulting,Entry/Mid,1,3,Information Technology,,"We’re looking for a PeopleSoft Technical Support Engineer for a remote role in Clemson, SC. If you’re looking for a new opportunity, apply today! Key Responsibilities:Serve as analyst on moderately complex critical or auxiliary systemsDesign, code, test, document, implement, and troubleshoot moderately complex programs Program modifications, or applications based on specifications or contract with the customerEnsure that all work is timely, accurate, and in compliance with departmental or project standards Skills & Qualifications: 6 years of experience with PeopleSoft Enterprise FinancialsExperience with:PeopleTools: App Designer - PeopleCode, Application Engine; SQR; Data Mover; Security setup (PeopleSoft Test Framework a plus)Oracle SQLvPeopleSoft reporting tools – Query, BI Publisher, nVisionPeopleSoft Finance experience with Purchasing, AP, AR, Billing, GL, Commitment Control Education/Certifications: Bachelor's degree in a field of study related to computing, mathematics OR or bus",800000,1500000,FULL_TIME,True,linkedin_2023_2024
18,Remote - Talent Acquisition Consultant,Talentify.io,United States,Staffing and Recruiting,Mid-level,2,5,Human Resources,,"Employer Industry: Personal Development and Wealth Creation Education Why Consider This Job Opportunity Uncapped earnings and incredible wealth generating potential Comprehensive and continuous training and support provided Freedom to work part-time or full-time and connect with people worldwide Join a global community with award-winning personal development resources Achieve personal fulfillment and financial rewards Opportunity for significant personal and financial growth What To Expect (Job Responsibilities) Implement daily marketing strategies to generate leads through various online advertising and social media channels Evaluate the suitability of qualified applicants for the business model through phone or Zoom interviews Lead by example in building, coaching, and mentoring your own team Engage in online training sessions for continuous upskilling and professional development Establish and pursue ambitious goals in both sales and personal growth What Is Required (Qualifications)",800000,1500000,FULL_TIME,True,linkedin_2023_2024
19,Merchandiser Specialist,Premium Retail Services,"Millinocket, ME",Retail,Entry,0,2,Marketing|Sales,,"General Information Company: PRE-US Location: MILLINOCKET, Maine, 04462 Ref #: 69846 Function: Merchandising Employment Duration: Part-time Description And Requirements As a Premium Merchandiser Specialist, you'll represent hundreds of brands across several retail locations. You will work with a diverse set of products including Magazines, Grocery items, Sunglasses, Candy, Cosmetics, Health & Beauty, and many more! By joining the team, you'll become an integral part of an established and fast-growing company built on family values. Growing sales for Premium clients is the name of the game, and you’ll do it by executing a variety of retail merchandising activities. What’s in it for you? You’ll merchandise brands you know and love in a variety of categories.Flexibility - you make your own schedule. Yes, you read that right.Variety in your job tasks. You won’t get stuck doing the same thing every day.Independence in your day-to-day work with the support of field management and a community",800000,1500000,PART_TIME,False,linkedin_2023_2024
20,Paralegal,Stone Rose Law,"Scottsdale, AZ",Law Practice,Mid-level,2,5,Legal,,"Company Description Stone Rose Law is a personal injury and criminal defense law firm based in Scottsdale, Arizona. Our mission is to provide affordable, experienced, and aggressive legal representation for individuals facing criminal charges or have been injured in preventable accidents. We handle cases in various areas of practice, including personal injury law and military & veterans law, and represent clients throughout the state of Arizona. Role Description This is a full-time on-site role as a Paralegal at Stone Rose Law located in Scottsdale, AZ. The Paralegal will be responsible for a variety of day-to-day tasks, including legal document preparation, communication with clients and colleagues, conducting research, and reviewing documents. Qualifications Strong knowledge of law and legal proceduresExperience in legal document preparationExcellent communication skills, both written and verbalProficiency in conducting researchAbility to review and analyze documentsAttention to deta",800000,1500000,FULL_TIME,False,linkedin_2023_2024
21,Federal Sales Account Manager - Southeast,Motorola Solutions,"Georgia, United States",Telecommunications,Mid-level,2,5,Sales|Business Development,,"Company Overview At Motorola Solutions, we're guided by a shared purpose - helping people be their best in the moments that matter - and we live up to our purpose every day by solving for safer. Because people can only be their best when they not only feel safe, but are safe. We're solving for safer by building the best possible technologies across every part of our safety and security ecosystem. That's mission-critical communications devices and networks, AI-powered video security & access control and the ability to unite voice, video and data in a single command center view. We're solving for safer by connecting public safety agencies and enterprises, enabling the collaboration that's critical to connect those in need with those who can help. The work we do here matters. Department Overview This department is responsible for selling Motorola Solutions offerings to United States Federal Government Markets Division - DoD, VA, and DoE Sales in South Eastern US Region. Job Description Th",800000,1500000,FULL_TIME,True,linkedin_2023_2024
22,Truck Driver - Cdl Class B - Penske Logistics,Penske Logistics,"Odessa, TX",Truck Transportation,Mid-level,2,5,Management|Manufacturing,,"Immediate Opportunities: Full-time Local Class B Delivery Truck Drivers Average $70000 annually Monday through Friday Home Daily Driver referral bonus program up to $5000 per referral You will drive: Late model, Penske Truck Leasing trucks Best-in-class specs designed for comfort What you will do: Routes have multi-stop store deliveries where drivers are responsible for unloading their trailers using cages and pallet jacks Home Daily Schedule: Monday through Friday 6 PM dispatch Comprehensive benefits package includes: Paid vacation and holidays day 1 Generous retirement benefit Excellent health care coverage-medical, dental, and vision Short and long-term disability; life and AD&D insurance Company-provided uniforms and safety footwear Employee discount benefit program Driver referral bonus program up to $5000 per referral Safety incentive program Premier Driver Recognition Program Why Penske? Ready to put your truck-driving career in high gear? Make the shift and fuel your career as ",800000,1500000,FULL_TIME,False,linkedin_2023_2024
23,Retail Sales Field Representative,Hawaiian Telcom,"Aiea, HI",Telecommunications,Entry/Mid,1,3,Sales,,"Job PurposeThis is a commission - base pay position, responsible for selling as an outside field representative at our retail partners and other outside sales programs. The candidate will provide a high level of quality service, excel in needs assessment and consultative selling, and have a thorough understanding of the products and services offered by Hawaiian Telcom. The sales rep must be a self-motivator, able to work with minimal supervision and be able to effectively educate customers about Hawaiian Telcom's products and services. Essential FunctionsAssess the customer's needs and provide optimal communication solutions and applications from our product and service line that meets their needs.Take ownership of thoroughly understanding the features and benefits of all services and products offered, including bundles and new products and services offered.Take ownership for knowing about and understanding our promotional offers and geography of areas of concentration.Take ownership f",100000,100000,FULL_TIME,False,linkedin_2023_2024
24,Manufacturing Engineering Technician,"Sira Consulting, an Inc 5000 company","Yorktown Heights, NY",Engineering Services,Entry/Mid,1,3,Manufacturing,,"Role – Manufacturing Engineering TechnicianLocation – Yorktown Heights, New York, 10598, USADuration- 12+ Months Contract b. Hands on processing experience in semiconductor-like processing steps. c. Must have good dexterity and be able to handle small sensitive parts. d. Must be capable of learning to operate new tools and learning new chemical processing steps. e. Must be observant and based on technical knowledge, identify sources of variability and/or yield impact. f. Must be very flexible to learn new tasks as the workload is varied a. Process wafers and/or other substrates through plating, lithography (coat, expose, develop), wet and dry etch, clean, thin film vacuum deposition, packaging, etc. b. Identify, communicate, and solve problems, organize projects and workflow. c. Accurately document and summarize data and process steps, as specified. d. Work closely with Engineers, Scientists, and Inventors from many different disciplines. Must be able to work independently as well as b",100000,100000,CONTRACT,False,linkedin_2023_2024
25,Revit Consultant,VDart,United States,IT Services and IT Consulting,Mid-level,2,5,Consulting|Information Technology|Sales,,"Job Title: Revit ConsultantLocation – RemoteDuration Ongoing contract at least will be 4 months min – could extend. Must Have – strong Revit experience, strong modeling experience. Need Consistent experience with Revit, 3 years minimum. Develop revit models, coordinating with architects, instructional engineers.Have a need for modelers, with revit experience.Autocad ep to produce documents (ideally but this is a plus, office has strengths in this)Revit is largest priority – 3 years min consistent expIdeally mechanical or engineering field firm, architect in a firm/ revit projects are used in project settings. Coordinating across the central model set up by the prime. Modeling experience, revit experience (ideally mechanical engineering exp, civil engineering or architecture at least)",800000,1500000,CONTRACT,True,linkedin_2023_2024
26,Customer Service Supervisor,DHL Supply Chain,"Livonia, MI","Transportation, Logistics, Supply Chain and Storage",Mid-level,2,5,Other,,"2nd Shift Friday-Tuesday - 14:00-22:30 Customer Service Supervisor Are you a motivated, organized individual seeking a challenging and rewarding opportunity in a fast-paced environment? Would you enjoy being part of a dedicated team that works together to create a relevant, memorable difference in the lives of our customers and employees?If you’re looking for change, and you’re ready to make changes … we’re looking for you. Job Description Coordinate and supervise the shift. Support staff activities on a daily and weekly basis. Provide an interface to the customer and follow up with operations to address customer issues. Review customer complaints with the warehouse management and/or transportation. Execute daily customer contract requirements and identify accessorial activity Interact with customer groups, as necessary, and provide first line of escalation for customer service issues Ensure necessary documentation is completed and filed according with company and customer guidelines P",800000,1500000,FULL_TIME,False,linkedin_2023_2024
27,Transformation Lead,General Dynamics Information Technology,United States,IT Services and IT Consulting,Mid-level,2,5,Other,,"Job Description: Type of Requisition: Pipeline Clearance Level Must Currently Possess: None Clearance Level Must Be Able To Obtain: None Suitability: Public Trust/Other Required: MBI (T2) Job Family: Program Management Skills: Job Qualifications: Change Management, Government Contracts, Project Management Certifications: Experience: 10 + years of related experience US Citizenship Required: No Job Description: Seize your opportunity to make a personal impact as a Transformation Lead supporting GDIT’s Veterans Administration contracts. GDIT is your place to make meaningful contributions to challenging projects and grow a rewarding career. The successful candidate will support the delivery of the Department of Veterans Affairs (VA) Supply Chain Modernization (SCM) with a focus on leading this effort to create a unified supply chain technical architecture and assist the VA’s efforts to modernize their supply chain tools and processes. The Transformation Lead should have extensive knowledge",800000,1500000,FULL_TIME,True,linkedin_2023_2024
28,Maintenance Technician,Harbor Group Management Company,"Irving, TX",Real Estate,Entry,0,2,Management|Manufacturing,,"Harbor Group Management Company is a multi-billion dollar real estate investment and property management firm. As we continue to grow, we are looking for passionate, goal oriented, creative individuals with an entrepreneurial spirit and great communication skills. Harbor Group is dedicated to outstanding customer service and providing exquisite living experience for our residents. Maintenance Technician Job Title: Maintenance Technician Division: Multifamily Status: Non- Exempt JOB SUMMARY: Responsible for the operational aspects of assigned properties and meeting company goals in those areas. In the Maintenance Technician role, you will be responsible for maintaining efficient operation and upkeep of the property’s buildings and grounds. ESSENTIAL DUTIES AND RESPONSIBILITIES: include the following but are not limited to the job specifications contained herein. Additional duties or job functions that can be performed safely may be required as deemed necessary by Harbor Group Management",800000,1500000,FULL_TIME,False,linkedin_2023_2024
29,Community Manager,RHP Properties,"Barnegat, NJ",Real Estate,Mid-level,2,5,Sales|Management|Customer Service,,"Headquartered in Farmington Hills, Michigan, RHP Properties (www.rhp.com) is the nation's largest private owner and operator of manufactured home communities. With over 370 communities throughout 30 states, we continue to expand our footprint to provide accessible and affordable housing across the country. All of this would not be possible without the energy and drive of our talented team members! We invest in our team members, with regular training, opportunities for advancement, and team events to bring everyone together. We are presently seeking a Community Manager for our Pinewood Estates located in Barnegat, NJ to manage the daily administration, operation, and personnel of the manufactured home community in an efficient, professional, and profitable manner. As a Community Manager, You Will:Manage and deposit daily collection of all monthly rentals, late fees, etc.Pursue delinquent rents and perform evictions within State and landlord laws and attend court proceedings as required.",800000,1500000,FULL_TIME,False,linkedin_2023_2024
30,Licensed Practical Nurse - Full-Time/Part-Time/Casual All Shifts,"North Shore Healthcare, LLC","Marinette, WI",Hospitals and Health Care,Entry,0,2,Health Care Provider,,"Position Details Job Title Shift: All ShiftsJob Title Status: Full-Time/Part-Time/Casual $5,000 Hiring Bonus Available! Direct Care Workers earn an extra $3.20 for every hour worked through a State of Michigan program! will assist with obtaining Michigan license Trust, engagement, competence, respect, and passion – these are the values under which North Shore Healthcare operates every day. Come join our team where we have a positive and home friendly environment with hardworking team players along with a welcoming outdoor setting. If you’re looking for a rewarding position that respects work-life balance, North Shore Healthcare is the Right Choice for you. Summary of position Under the supervision of the RN Unit Manager or DON, a Licensed Practical Nurse/Licensed Vocational Nurse performs as a licensed care giver and assumes responsibility and accountability for assigned residents/patients for a shift of duty. Nursing care is provided through coordination, implementation, and evaluatio",800000,1500000,PART_TIME,False,linkedin_2023_2024
31,Hiring Immediately For 2024! Teach English In China! Training & Full Support Provided,EF English First,"Boulder, CO",Primary and Secondary Education,Entry,0,2,Customer Service|Education|Administrative,,"Want something different? Explore Teaching Opportunities in China in 2024! No prior experience required! Enjoy comprehensive support and complimentary flights! Teach in China! No Experience Needed! Full Support & Free Flights!Join EF English First to teach in China! Where you can earn money, travel across Asia in your free time while developing yourself personally and professionally through the support of EF’s global network and training. In EF, we offer a plethora of career paths to choose from, providing ample opportunities for growth and advancement. Adventure awaits abroad. Join us! What will you get?Competitive salary + performance bonus after 6 months and more21 days paid holiday + Flight allowanceInternational health insurance co-paid with the employeeFree Flight to China + Airport pick-up assistance upon arrivalSponsored legal Z work visa + Free hotel for first 2 weeksTEFL certificate + Skill development & Career Advancement*(EF offers Distance Learning Courses for new teachers",800000,1500000,FULL_TIME,False,linkedin_2023_2024
32,Project Coordinator  : No C2C /Only W2,Fortira Inc.,"New Brunswick, NJ",Information Services,Entry/Mid,1,3,Project Management,,"Locals/No c2c or third partyOnly w2 T project coordinatorNew Bruswick NJMust Have List6+ years of experience with the following:MS ProjectMS PowerPoint, Excel, and WordProject SchedulingSmartsheetIT Project CoordinatorAssist the Project Manager (PM) in coordination of information to support the project design and planning. Document and track results of discussions, project planning sessions, risk mitigation plans, and modifications to project plan documents. Assist the PM in coordinating estimations. Assist in project risk assessment and contingency planning. Assist the PM in producing project communications as needed. Participate in and provide input to ongoing project methodology process improvement efforts. Ensure organization readiness by incorporating appropriate planning, communications, and mitigation activities. Qualifications: •PMI certification •Excellent communication and analytical skills •Project management knowledge and practical experience with large software project •Ve",100000,100000,CONTRACT,False,linkedin_2023_2024
33,Virtual Rn; Registered Nurse,Yale New Haven Health,"New London, CT",Hospitals and Health Care,Mid-level,2,5,Health Care Provider,,"Overview To be part of our organization, every employee should understand and share in the YNHHS Vision, support our Mission, and live our Values. These values - integrity, patient-centered, respect, accountability, and compassion - must guide what we do, as individuals and professionals, every day. The Telehealth Registered Nurse (RN) is a member of the Nursing Care Team and is responsible for collaboration, communication & facilitation of optimal provision of care through an audio-visual technology platform supporting daily management of care. Under the supervision of the Patient Care Services Nurse Manager, the Telehealth Admission Discharge RN is responsible for collecting clinical information and ensuring that all documentation is in order for admission, discharge and/or transfer of patients. The Telehealth Admission Discharge RN nurse will also provide direct patient care as necessary. EEO/AA/Disability/Veteran Responsibilities Demonstrates competency in obtaining an accurate pat",800000,1500000,FULL_TIME,False,linkedin_2023_2024
